dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.6639004149377593,0.533195020746888,0.13070539419087138,0.10511756569847856,0.15733056708160445,1.0,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-style k20,EM,0.30063291139240506,0.310126582278481,-0.00949367088607595,-0.05063291139240506,0.03164556962025317,0.2997,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-style k20,F1,0.38889082278481013,0.393658158223448,-0.004767335438637904,-0.047435386341765425,0.03613950656263197,0.4154,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-style k20,R5_TITLE,0.7468354430379747,0.7362869198312236,0.010548523206751056,-0.01371308016877637,0.034810126582278486,0.7981,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - Top5,EM,0.30063291139240506,0.27531645569620256,0.02531645569620253,-0.00949367088607595,0.06329113924050633,0.8961,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - Top5,F1,0.38889082278481013,0.34634556962025315,0.04254525316455697,0.006022270569620259,0.0802603085443038,0.9907,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - Top5,R5_TITLE,0.7468354430379747,0.6740506329113924,0.07278481012658228,0.05063291139240506,0.0949367088607595,1.0,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - IRCoT-style local,EM,0.30063291139240506,0.2848101265822785,0.015822784810126583,-0.03164556962025317,0.06645569620253164,0.7164,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - IRCoT-style local,F1,0.38889082278481013,0.3898593079139382,-0.0009684851291280324,-0.04598211016919087,0.04507796533302361,0.4873,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.7468354430379747,0.6318565400843883,0.11497890295358651,0.08649789029535865,0.14556962025316456,1.0,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - LLM-direct title,EM,0.30063291139240506,0.2468354430379747,0.05379746835443038,0.0031645569620253164,0.1013449367088596,0.9804,True
